"year","country","sector","CO2GDPPPP","GDPpcPPP","old_share","POP","pop_urb_share","sec_share","CO2GDPPPP_q5","CO2GDPPPP_q16","CO2GDPPPP_q84","CO2GDPPPP_q95","GDPpcPPP_q5","GDPpcPPP_q16","GDPpcPPP_q84","GDPpcPPP_q95","old_share_q5","old_share_q16","old_share_q84","old_share_q95","POP_q5","POP_q16","POP_q84","POP_q95","pop_urb_share_q5","pop_urb_share_q16","pop_urb_share_q84","pop_urb_share_q95","sec_share_q5","sec_share_q16","sec_share_q84","sec_share_q95","total_emissions_MtCO2eq","total_emissions_q5_MtCO2eq","total_emissions_q16_MtCO2eq","total_emissions_q84_MtCO2eq","total_emissions_q95_MtCO2eq","japan_total_MtCO2eq"
1980,"JPN","agriculture",0.289186603747674,21323.3751569177,0.376144968154399,116.3895,0.76175,0.421,0.289186603747674,0.289186603747674,0.289186603747674,0.289186603747674,21323.3751569177,21323.3751569177,21323.3751569177,21323.3751569177,0.376144968154399,0.376144968154399,0.376144968154399,0.376144968154399,116.3895,116.3895,116.3895,116.3895,0.76175,0.76175,0.76175,0.76175,0.421,0.421,0.421,0.421,71.7708221494907,71.7708221494907,71.7708221494907,71.7708221494907,71.7708221494907,1149.74760052803
1980,"JPN","buildings",0.355079099338869,21323.3751569177,0.376144968154399,116.3895,0.76175,0.421,0.355079099338869,0.355079099338869,0.355079099338869,0.355079099338869,21323.3751569177,21323.3751569177,21323.3751569177,21323.3751569177,0.376144968154399,0.376144968154399,0.376144968154399,0.376144968154399,116.3895,116.3895,116.3895,116.3895,0.76175,0.76175,0.76175,0.76175,0.421,0.421,0.421,0.421,88.1241335435,88.1241335435,88.1241335435,88.1241335435,88.1241335435,1149.74760052803
1980,"JPN","transport",0.667897900505361,21323.3751569177,0.376144968154399,116.3895,0.76175,0.421,0.667897900505361,0.667897900505361,0.667897900505361,0.667897900505361,21323.3751569177,21323.3751569177,21323.3751569177,21323.3751569177,0.376144968154399,0.376144968154399,0.376144968154399,0.376144968154399,116.3895,116.3895,116.3895,116.3895,0.76175,0.76175,0.76175,0.76175,0.421,0.421,0.421,0.421,165.760034558911,165.760034558911,165.760034558911,165.760034558911,165.760034558911,1149.74760052803
1980,"JPN","energy",1.57038902494151,21323.3751569177,0.376144968154399,116.3895,0.76175,0.421,1.57038902494151,1.57038902494151,1.57038902494151,1.57038902494151,21323.3751569177,21323.3751569177,21323.3751569177,21323.3751569177,0.376144968154399,0.376144968154399,0.376144968154399,0.376144968154399,116.3895,116.3895,116.3895,116.3895,0.76175,0.76175,0.76175,0.76175,0.421,0.421,0.421,0.421,389.741813603964,389.741813603964,389.741813603964,389.741813603964,389.741813603964,1149.74760052803
1980,"JPN","industry",1.75013226772144,21323.3751569177,0.376144968154399,116.3895,0.76175,0.421,1.75013226772144,1.75013226772144,1.75013226772144,1.75013226772144,21323.3751569177,21323.3751569177,21323.3751569177,21323.3751569177,0.376144968154399,0.376144968154399,0.376144968154399,0.376144968154399,116.3895,116.3895,116.3895,116.3895,0.76175,0.76175,0.76175,0.76175,0.421,0.421,0.421,0.421,434.350796672166,434.350796672166,434.350796672166,434.350796672166,434.350796672166,1149.74760052803
1981,"JPN","buildings",0.358499195288091,22049.2395332449,0.383404205648146,117.29550333529,0.76273,0.425485097019404,0.358499195288091,0.358499195288091,0.358499195288091,0.358499195288091,22049.2395332449,22049.2395332449,22049.2395332449,22049.2395332449,0.383404205648146,0.383404205648146,0.383404205648146,0.383404205648146,117.29550333529,117.29550333529,117.29550333529,117.29550333529,0.76273,0.76273,0.76273,0.76273,0.425485097019404,0.425485097019404,0.425485097019404,0.425485097019404,92.7178097535,92.7178097535,92.7178097535,92.7178097535,92.7178097535,1122.83638578079
1981,"JPN","energy",1.48715951704157,22049.2395332449,0.383404205648146,117.29550333529,0.76273,0.425485097019404,1.48715951704157,1.48715951704157,1.48715951704157,1.48715951704157,22049.2395332449,22049.2395332449,22049.2395332449,22049.2395332449,0.383404205648146,0.383404205648146,0.383404205648146,0.383404205648146,117.29550333529,117.29550333529,117.29550333529,117.29550333529,0.76273,0.76273,0.76273,0.76273,0.425485097019404,0.425485097019404,0.425485097019404,0.425485097019404,384.620593257849,384.620593257849,384.620593257849,384.620593257849,384.620593257849,1122.83638578079
1981,"JPN","industry",1.60294191993796,22049.2395332449,0.383404205648146,117.29550333529,0.76273,0.425485097019404,1.60294191993796,1.60294191993796,1.60294191993796,1.60294191993796,22049.2395332449,22049.2395332449,22049.2395332449,22049.2395332449,0.383404205648146,0.383404205648146,0.383404205648146,0.383404205648146,117.29550333529,117.29550333529,117.29550333529,117.29550333529,0.76273,0.76273,0.76273,0.76273,0.425485097019404,0.425485097019404,0.425485097019404,0.425485097019404,414.565125757912,414.565125757912,414.565125757912,414.565125757912,414.565125757912,1122.83638578079
1981,"JPN","agriculture",0.270215063215247,22049.2395332449,0.383404205648146,117.29550333529,0.76273,0.425485097019404,0.270215063215247,0.270215063215247,0.270215063215247,0.270215063215247,22049.2395332449,22049.2395332449,22049.2395332449,22049.2395332449,0.383404205648146,0.383404205648146,0.383404205648146,0.383404205648146,117.29550333529,117.29550333529,117.29550333529,117.29550333529,0.76273,0.76273,0.76273,0.76273,0.425485097019404,0.425485097019404,0.425485097019404,0.425485097019404,69.8850908259025,69.8850908259025,69.8850908259025,69.8850908259025,69.8850908259025,1122.83638578079
1981,"JPN","transport",0.622701234358177,22049.2395332449,0.383404205648146,117.29550333529,0.76273,0.425485097019404,0.622701234358177,0.622701234358177,0.622701234358177,0.622701234358177,22049.2395332449,22049.2395332449,22049.2395332449,22049.2395332449,0.383404205648146,0.383404205648146,0.383404205648146,0.383404205648146,117.29550333529,117.29550333529,117.29550333529,117.29550333529,0.76273,0.76273,0.76273,0.76273,0.425485097019404,0.425485097019404,0.425485097019404,0.425485097019404,161.047766185625,161.047766185625,161.047766185625,161.047766185625,161.047766185625,1122.83638578079
1982,"JPN","buildings",0.370377532009234,22611.2553684325,0.39056415707784,118.168323177868,0.76383,0.429971988795518,0.370377532009234,0.370377532009234,0.370377532009234,0.370377532009234,22611.2553684325,22611.2553684325,22611.2553684325,22611.2553684325,0.39056415707784,0.39056415707784,0.39056415707784,0.39056415707784,118.168323177868,118.168323177868,118.168323177868,118.168323177868,0.76383,0.76383,0.76383,0.76383,0.429971988795518,0.429971988795518,0.429971988795518,0.429971988795518,98.962436944,98.962436944,98.962436944,98.962436944,98.962436944,1077.81991926382
1982,"JPN","energy",1.21701976398107,22611.2553684325,0.39056415707784,118.168323177868,0.76383,0.429971988795518,1.21701976398107,1.21701976398107,1.21701976398107,1.21701976398107,22611.2553684325,22611.2553684325,22611.2553684325,22611.2553684325,0.39056415707784,0.39056415707784,0.39056415707784,0.39056415707784,118.168323177868,118.168323177868,118.168323177868,118.168323177868,0.76383,0.76383,0.76383,0.76383,0.429971988795518,0.429971988795518,0.429971988795518,0.429971988795518,325.179664649788,325.179664649788,325.179664649788,325.179664649788,325.179664649788,1077.81991926382
1982,"JPN","industry",1.55143784459325,22611.2553684325,0.39056415707784,118.168323177868,0.76383,0.429971988795518,1.55143784459325,1.55143784459325,1.55143784459325,1.55143784459325,22611.2553684325,22611.2553684325,22611.2553684325,22611.2553684325,0.39056415707784,0.39056415707784,0.39056415707784,0.39056415707784,118.168323177868,118.168323177868,118.168323177868,118.168323177868,0.76383,0.76383,0.76383,0.76383,0.429971988795518,0.429971988795518,0.429971988795518,0.429971988795518,414.533973038804,414.533973038804,414.533973038804,414.533973038804,414.533973038804,1077.81991926382
1982,"JPN","transport",0.634549724778358,22611.2553684325,0.39056415707784,118.168323177868,0.76383,0.429971988795518,0.634549724778358,0.634549724778358,0.634549724778358,0.634549724778358,22611.2553684325,22611.2553684325,22611.2553684325,22611.2553684325,0.39056415707784,0.39056415707784,0.39056415707784,0.39056415707784,118.168323177868,118.168323177868,118.168323177868,118.168323177868,0.76383,0.76383,0.76383,0.76383,0.429971988795518,0.429971988795518,0.429971988795518,0.429971988795518,169.547506798132,169.547506798132,169.547506798132,169.547506798132,169.547506798132,1077.81991926382
1982,"JPN","agriculture",0.26047175715864,22611.2553684325,0.39056415707784,118.168323177868,0.76383,0.429971988795518,0.26047175715864,0.26047175715864,0.26047175715864,0.26047175715864,22611.2553684325,22611.2553684325,22611.2553684325,22611.2553684325,0.39056415707784,0.39056415707784,0.39056415707784,0.39056415707784,118.168323177868,118.168323177868,118.168323177868,118.168323177868,0.76383,0.76383,0.76383,0.76383,0.429971988795518,0.429971988795518,0.429971988795518,0.429971988795518,69.5963378331009,69.5963378331009,69.5963378331009,69.5963378331009,69.5963378331009,1077.81991926382
1983,"JPN","buildings",0.375800167856032,23245.88998278,0.39762684554178,118.991631352802,0.76493,0.434460676405844,0.375800167856032,0.375800167856032,0.375800167856032,0.375800167856032,23245.88998278,23245.88998278,23245.88998278,23245.88998278,0.39762684554178,0.39762684554178,0.39762684554178,0.39762684554178,118.991631352802,118.991631352802,118.991631352802,118.991631352802,0.76493,0.76493,0.76493,0.76493,0.434460676405844,0.434460676405844,0.434460676405844,0.434460676405844,103.9488206635,103.9488206635,103.9488206635,103.9488206635,103.9488206635,1079.75045171727
1983,"JPN","energy",1.20501983527162,23245.88998278,0.39762684554178,118.991631352802,0.76493,0.434460676405844,1.20501983527162,1.20501983527162,1.20501983527162,1.20501983527162,23245.88998278,23245.88998278,23245.88998278,23245.88998278,0.39762684554178,0.39762684554178,0.39762684554178,0.39762684554178,118.991631352802,118.991631352802,118.991631352802,118.991631352802,0.76493,0.76493,0.76493,0.76493,0.434460676405844,0.434460676405844,0.434460676405844,0.434460676405844,333.316484309279,333.316484309279,333.316484309279,333.316484309279,333.316484309279,1079.75045171727
1983,"JPN","industry",1.44025866367991,23245.88998278,0.39762684554178,118.991631352802,0.76493,0.434460676405844,1.44025866367991,1.44025866367991,1.44025866367991,1.44025866367991,23245.88998278,23245.88998278,23245.88998278,23245.88998278,0.39762684554178,0.39762684554178,0.39762684554178,0.39762684554178,118.991631352802,118.991631352802,118.991631352802,118.991631352802,0.76493,0.76493,0.76493,0.76493,0.434460676405844,0.434460676405844,0.434460676405844,0.434460676405844,398.38510555767,398.38510555767,398.38510555767,398.38510555767,398.38510555767,1079.75045171727
1983,"JPN","agriculture",0.252301773014974,23245.88998278,0.39762684554178,118.991631352802,0.76493,0.434460676405844,0.252301773014974,0.252301773014974,0.252301773014974,0.252301773014974,23245.88998278,23245.88998278,23245.88998278,23245.88998278,0.39762684554178,0.39762684554178,0.39762684554178,0.39762684554178,118.991631352802,118.991631352802,118.991631352802,118.991631352802,0.76493,0.76493,0.76493,0.76493,0.434460676405844,0.434460676405844,0.434460676405844,0.434460676405844,69.7883449755771,69.7883449755771,69.7883449755771,69.7883449755771,69.7883449755771,1079.75045171727
1983,"JPN","transport",0.63017900806696,23245.88998278,0.39762684554178,118.991631352802,0.76493,0.434460676405844,0.63017900806696,0.63017900806696,0.63017900806696,0.63017900806696,23245.88998278,23245.88998278,23245.88998278,23245.88998278,0.39762684554178,0.39762684554178,0.39762684554178,0.39762684554178,118.991631352802,118.991631352802,118.991631352802,118.991631352802,0.76493,0.76493,0.76493,0.76493,0.434460676405844,0.434460676405844,0.434460676405844,0.434460676405844,174.311696211243,174.311696211243,174.311696211243,174.311696211243,174.311696211243,1079.75045171727
1984,"JPN","industry",1.44802517526679,24138.7591801069,0.404594239544308,119.749099685157,0.76603,0.438951160928743,1.44802517526679,1.44802517526679,1.44802517526679,1.44802517526679,24138.7591801069,24138.7591801069,24138.7591801069,24138.7591801069,0.404594239544308,0.404594239544308,0.404594239544308,0.404594239544308,119.749099685157,119.749099685157,119.749099685157,119.749099685157,0.76603,0.76603,0.76603,0.76603,0.438951160928743,0.438951160928743,0.438951160928743,0.438951160928743,418.565386716878,418.565386716878,418.565386716878,418.565386716878,418.565386716878,1149.59592436554
1984,"JPN","transport",0.624677998339093,24138.7591801069,0.404594239544308,119.749099685157,0.76603,0.438951160928743,0.624677998339093,0.624677998339093,0.624677998339093,0.624677998339093,24138.7591801069,24138.7591801069,24138.7591801069,24138.7591801069,0.404594239544308,0.404594239544308,0.404594239544308,0.404594239544308,119.749099685157,119.749099685157,119.749099685157,119.749099685157,0.76603,0.76603,0.76603,0.76603,0.438951160928743,0.438951160928743,0.438951160928743,0.438951160928743,180.569089829639,180.569089829639,180.569089829639,180.569089829639,180.569089829639,1149.59592436554
1984,"JPN","buildings",0.387560238609057,24138.7591801069,0.404594239544308,119.749099685157,0.76603,0.438951160928743,0.387560238609057,0.387560238609057,0.387560238609057,0.387560238609057,24138.7591801069,24138.7591801069,24138.7591801069,24138.7591801069,0.404594239544308,0.404594239544308,0.404594239544308,0.404594239544308,119.749099685157,119.749099685157,119.749099685157,119.749099685157,0.76603,0.76603,0.76603,0.76603,0.438951160928743,0.438951160928743,0.438951160928743,0.438951160928743,112.0279563645,112.0279563645,112.0279563645,112.0279563645,112.0279563645,1149.59592436554
1984,"JPN","agriculture",0.243036186974524,24138.7591801069,0.404594239544308,119.749099685157,0.76603,0.438951160928743,0.243036186974524,0.243036186974524,0.243036186974524,0.243036186974524,24138.7591801069,24138.7591801069,24138.7591801069,24138.7591801069,0.404594239544308,0.404594239544308,0.404594239544308,0.404594239544308,119.749099685157,119.749099685157,119.749099685157,119.749099685157,0.76603,0.76603,0.76603,0.76603,0.438951160928743,0.438951160928743,0.438951160928743,0.438951160928743,70.2519108954337,70.2519108954337,70.2519108954337,70.2519108954337,70.2519108954337,1149.59592436554
1984,"JPN","energy",1.27372261213681,24138.7591801069,0.404594239544308,119.749099685157,0.76603,0.438951160928743,1.27372261213681,1.27372261213681,1.27372261213681,1.27372261213681,24138.7591801069,24138.7591801069,24138.7591801069,24138.7591801069,0.404594239544308,0.404594239544308,0.404594239544308,0.404594239544308,119.749099685157,119.749099685157,119.749099685157,119.749099685157,0.76603,0.76603,0.76603,0.76603,0.438951160928743,0.438951160928743,0.438951160928743,0.438951160928743,368.181580559086,368.181580559086,368.181580559086,368.181580559086,368.181580559086,1149.59592436554
